Japanese,English
が,the
の,of
に,to
そして,and
一つ,a
で,in
は,is
それ,it
あなた,you
それ,that
彼,he
だった,was
のために,for
の上,on
は,are
と,with
として,as
私,I
彼の,his
彼らは,they
なれ,be
で,at
1つ,one
持っている,have
これ,this
から,from
または,or
持っていた,had
による,by
ない,not
言葉,word
しかし,but
何,what
いくつかの,some
私たちは,we
できる,can
外,out
他の,other
だった,were
全て,all
そこには,there
いつ,when
上,up
使用,use
あなたの,your
どうやって,how
言った,said
an,an
それぞれ,each
彼女,she
どれの,which
する,do
彼らの,their
時間,time
もし,if
意思,will
方法,way
について,about
多くの,many
それから,then
彼ら,them
書く,write
します,would
のように,like
それで,so
これら,these
彼女,her
長さ,long
作る,make
もの,thing
見る,see
彼,him
二,two
もっている,has
見て,look
もっと,more
日,day
できた,could
行く,go
来る,come
した,did
番号,number
音,sound
いいえ,no
ほとんど,most
人々,people
私の,my
以上,over
知る,know
水,water
よりも,than
電話,call
初め,first
誰が,who
5月,may
下,down
側,side
された,been
今,now
探す,find
どれでも,any
新しい,new
仕事,work
一部,part
取る,take
得る,get
場所,place
作った,made
ライブ,live
どこ,where
後,after
戻る,back
少し,little
のみ,only
ラウンド,round
男,man
年,year
来た,came
見せる,show
毎,every
良い,good
自分,me
与える,give
私たちの,our
下,under
名前,name
とても,very
を通して,through
ただ,just
形状,form
文,sentence
素晴らしい,great
考える,think
言う,say
ヘルプ,help
低い,low
ライン,line
異なる,differ
振り向く,turn
原因,cause
多くの,much
平均,mean
前に,before
動く,move
右,right
男の子,boy
古い,old
あまりにも,too
同じ,same
教えて,tell
します,does
セット,set
三つ,three
欲しい,want
空気,air
良い,well
また,also
遊ぶ,play
小さい,small
終わり,end
置く,put
家,home
読む,read
手,hand
ポート,port
大きい,large
スペル,spell
追加,add
平,even
土地,land
ここ,here
しなければならない,must
大きい,big
高い,high
そのような,such
フォローする,follow
活動,act
なぜ,why
聞く,ask
男性,men
変化,change
行った,went
ライト,light
親切,kind
オフ,off
必要,need
家,house
写真,picture
試す,try
私たち,us
また,again
動物,animal
ポイント,point
母親,mother
世界,world
近く,near
建てる,build
自己,self
地球,earth
父親,father
頭,head
立つ,stand
自分の,own
ページ,page
すべき,should
国,country
見つかった,found
答え,answer
学校,school
育つ,grow
勉強,study
まだ,still
学ぶ,learn
植物,plant
カバー,cover
食べ物,food
太陽,sun
四,four
間,between
州,state
保つ,keep
目,eye
一度もない,never
最後,last
させて,let
考え,thought
市,city
木,tree
クロス,cross
農場,farm
難しい,hard
始める,start
かもしれない,might
話,story
見た,saw
遠い,far
海,sea
描く,draw
左,left
遅い,late
走る,run
しないでください,don't
その間,while
プレス,press
近い,close
夜,night
本物,real
人生,life
少し,few
北,north
開ける,open
思われる,seem
一緒に,together
次,next
白,white
子供たち,children
始める,begin
手に入れた,got
歩く,walk
例,example
容易に,ease
紙,paper
グループ,group
いつも,always
音楽,music
それらの,those
両方,both
マーク,mark
頻繁,often
手紙,letter
それまで,until
マイル,mile
川,river
車,car
足,feet
お手入れ,care
2番,second
本,book
運ぶ,carry
取った,took
科学,science
食べる,eat
部屋,room
友達,friend
始まった,began
アイデア,idea
魚,fish
山,mountain
停止,stop
一度,once
ベース,base
聞く,hear
馬,horse
カット,cut
もちろん,sure
時計,watch
色,color
顔,face
木材,wood
主要,main
十分,enough
無地,plain
女の子,girl
いつもの,usual
若い,young
準備ができて,ready
その上,above
これまで,ever
赤,red
リスト,list
けれど,though
感じる,feel
話す,talk
鳥,bird
すぐ,soon
体,body
犬,dog
家族,family
直接,direct
ポーズ,pose
離れる,leave
歌,song
測定,measure
ドア,door
製品,product
黒,black
短い,short
数字,numeral
クラス,class
風,wind
質問,question
起こる,happen
完了,complete
船,ship
エリア,area
半分,half
ロック,rock
注文,order
火,fire
南,south
問題,problem
ピース,piece
言った,told
知っていた,knew
合格,pass
以来,since
上,top
全体,whole
王,king
空間,space
聞いた,heard
最高,best
時間,hour
より良い,better
真実,TRUE
その間,during
百,hundred
五,five
覚えて,remember
ステップ,step
早い,early
所有,hold
西,west
地面,ground
興味,interest
到着,reach
速い,fast
動詞,verb
歌う,sing
聞く,listen
六,six
テーブル,table
旅行,travel
少ない,less
朝,morning
十,ten
単純,simple
いくつかの,several
母音,vowel
向かって,toward
戦争,war
横たわる,lay
に対して,against
パターン,pattern
遅い,slow
中心,center
愛,love
人,person
お金,money
仕える,serve
現れる,appear
道,road
地図,map
雨,rain
ルール,rule
統治,govern
引く,pull
寒い,cold
知らせ,notice
声,voice
ユニット,unit
力,power
町,town
大丈夫,fine
ある,certain
飛ぶ,fly
秋,fall
鉛,lead
泣く,cry
暗い,dark
機械,machine
注記,note
待って,wait
プラン,plan
形,figure
星,star
箱,box
名詞,noun
分野,field
休む,rest
正しい,correct
できる,able
ポンド,pound
終わり,done
美しさ,beauty
ドライブ,drive
立った,stood
含む,contain
フロント,front
教える,teach
週,week
最後の,final
与えた,gave
緑,green
おお,oh
素早い,quick
開発する,develop
海,ocean
暖かい,warm
無料,free
分,minute
強い,strong
特別,special
心,mind
後ろに,behind
クリア,clear
しっぽ,tail
生産する,produce
事実,fact
通り,street
インチ,inch
かける,multiply
何もない,nothing
コース,course
滞在する,stay
車輪,wheel
満杯,full
力,force
青,blue
物体,object
決める,decide
表面,surface
深い,deep
月,moon
島,island
足,foot
システム,system
忙しい,busy
テスト,test
記録,record
ボート,boat
一般,common
金,gold
可能,possible
飛行機,plane
定常,stead
ドライ,dry
不思議,wonder
笑う,laugh
千,thousand
前,ago
走った,ran
チェック,check
ゲーム,game
形,shape
同等です,equate
熱い,hot
逃す,miss
持ってくる,brought
熱,heat
雪,snow
タイヤ,tire
持ってくる,bring
はい,yes
遠い,distant
埋める,fill
東,east
ペイント,paint
言語,language
の間で,among
グランド,grand
ボール,ball
まだ,yet
波,wave
落とす,drop
心臓,heart
午前,am
現在,present
重い,heavy
ダンス,dance
エンジン,engine
位置,position
腕,arm
広い,wide
帆,sail
材料,material
サイズ,size
変化する,vary
解決する,settle
話す,speak
重さ,weight
一般的な,general
氷,ice
案件,matter
丸,circle
ペア,pair
含む,include
分ける,divide
音節,syllable
感じた,felt
多分,perhaps
選ぶ,pick
突然,sudden
カウント,count
四角,square
理由,reason
長さ,length
代表する,represent
美術,art
主題,subject
地域,region
エネルギー,energy
ハント,hunt
ありそう,probable
ベッド,bed
兄弟,brother
卵,egg
乗る,ride
細胞,cell
信じる,believe
分数,fraction
森,forest
座る,sit
人種,race
窓,window
店,store
夏,summer
電車,train
寝る,sleep
証明する,prove
孤独,lone
脚,leg
エクササイズ,exercise
壁,wall
キャッチ,catch
マウント,mount
願い,wish
空,sky
ボード,board
喜び,joy
冬,winter
土,sat
書かれています,written
野生,wild
楽器,instrument
保たれた,kept
ガラス,glass
草,grass
牛,cow
仕事,job
角,edge
サイン,sign
訪問,visit
過去,past
柔らかい,soft
楽しい,fun
明るい,bright
ガス,gas
天気,weather
月,month
百万,million
クマ,bear
仕上げる,finish
ハッピー,happy
希望,hope
花,flower
服,clothe
奇妙な,strange
消えた,gone
ジャンプ,jump
赤ちゃん,baby
八,eight
村,village
会う,meet
根,root
買う,buy
上げる,raise
解決する,solve
金属,metal
かどうか,whether
押す,push
セブン,seven
段落,paragraph
三番目,third
しなければならない,shall
開催,held
髪,hair
説明する,describe
料理する,cook
床,floor
どちらか,either
結果,result
やけど,burn
丘,hill
安全,safe
猫,cat
世紀,century
考慮する,consider
タイプ,type
法,law
少し,bit
海岸,coast
コピー,copy
フレーズ,phrase
静けさ,silent
高い,tall
砂,sand
土壌,soil
ロール,roll
温度,temperature
指,finger
業界,industry
価値,value
戦い,fight
嘘,lie
ビート,beat
エキサイト,excite
自然,natural
ビュー,view
センス,sense
耳,ear
それ以外,else
とても,quite
壊れた,broke
場合,case
真ん中,middle
殺す,kill
息子,son
湖,lake
一瞬,moment
規模,scale
うるさい,loud
春,spring
観察する,observe
子供,child
真っ直ぐ,straight
子音,consonant
国家,nation
辞書,dictionary
牛乳,milk
スピード,speed
方法,method
器官,organ
支払う,pay
年,age
セクション,section
ドレス,dress
雲,cloud
驚き,surprise
静かな,quiet
石,stone
小さい,tiny
登る,climb
いいね,cool
デザイン,design
貧しい,poor
多く,lot
実験,experiment
底,bottom
鍵,key
鉄,iron
シングル,single
スティック,stick
フラット,flat
20,twenty
肌,skin
笑顔,smile
折り目,crease
穴,hole
貿易,trade
メロディー,melody
旅行,trip
オフィス,office
受け取る,receive
行,row
口,mouth
ちょうど,exact
シンボル,symbol
死ぬ,die
少しでも,least
トラブル,trouble
叫ぶ,shout
を除外する,except
書きました,wrote
シード,seed
トーン,tone
参加する,join
提案する,suggest
クリーン,clean
壊す,break
レディ,lady
ヤード,yard
上昇,rise
悪い,bad
吹く,blow
油,oil
血,blood
触る,touch
成長した,grew
セント,cent
ミックス,mix
チーム,team
ワイヤー,wire
料金,cost
失った,lost
茶色,brown
着る,wear
庭,garden
等しい,equal
送信済み,sent
選ぶ,choose
落ちた,fell
フィット,fit
流れ,flow
公平,fair
銀行,bank
集める,collect
保存,save
コントロール,control
小数,decimal
優しい,gentle
女性,woman
キャプテン,captain
練習する,practice
別,separate
難しい,difficult
医者,doctor
お願いします,please
守る,protect
正午,noon
だれの,whose
見つけます,locate
指輪,ring
キャラクター,character
昆虫,insect
つかまった,caught
期間,period
示す,indicate
無線,radio
話した,spoke
原子,atom
人間,human
歴史,history
効果,effect
電気の,electric
期待する,expect
作物,crop
モダンな,modern
要素,element
打つ,hit
学生,student
コーナー,corner
パーティー,party
供給,supply
骨,bone
レール,rail
想像する,imagine
提供する,provide
同意する,agree
したがって,thus
資本,capital
しない,won't
椅子,chair
危険,danger
フルーツ,fruit
リッチ,rich
厚い,thick
兵士,soldier
プロセス,process
動作します,operate
推測,guess
必要,necessary
シャープ,sharp
羽,wing
作成する,create
近所の人,neighbor
洗う,wash
コウモリ,bat
それよりも,rather
群衆,crowd
トウモロコシ,corn
比較する,compare
詩,poem
弦,string
ベル,bell
依存する,depend
肉,meat
こする,rub
チューブ,tube
有名な,famous
ドル,dollar
ストリーム,stream
恐れ,fear
視力,sight
薄い,thin
三角形,triangle
惑星,planet
急いで,hurry
チーフ,chief
コロニー,colony
時計,clock
私の,mine
ネクタイ,tie
入力,enter
選考科目,major
新鮮な,fresh
検索,search
送信,send
黄色,yellow
銃,gun
許可する,allow
印刷,print
死んだ,dead
スポット,spot
砂漠,desert
スーツ,suit
現在,current
リフト,lift
薔薇,rose
続く,continue
ブロック,block
チャート,chart
帽子,hat
売る,sell
成功,success
会社,company
減算します,subtract
イベント,event
特定の,particular
取引,deal
泳ぐ,swim
学期,term
反対,opposite
妻,wife
靴,shoe
ショルダー,shoulder
広める,spread
整える,arrange
キャンプ,camp
発明する,invent
コットン,cotton
生まれる,born
決定する,determine
クォート,quart
九,nine
トラック,truck
ノイズ,noise
レベル,level
チャンス,chance
集める,gather
店,shop
ストレッチ,stretch
投げる,throw
輝く,shine
財産,property
カラム,column
分子,molecule
選択する,select
間違っている,wrong
グレー,gray
繰り返す,repeat
必要とする,require
広い,broad
準備する,prepare
塩,salt
鼻,nose
複数,plural
怒り,anger
請求,claim
大陸,continent
酸素,oxygen
砂糖,sugar
死,death
かわいい,pretty
スキル,skill
女性,women
季節,season
解決,solution
磁石,magnet
銀,silver
感謝,thank
支店,branch
マッチ,match
サフィックス,suffix
特に,especially
イチジク,fig
恐れている,afraid
巨大な,huge
妹,sister
鋼鉄,steel
話し合う,discuss
フォワード,forward
似ている,similar
ガイド,guide
経験,experience
スコア,score
りんご,apple
買った,bought
導かれた,led
ピッチ,pitch
コート,coat
質量,mass
カード,card
バンド,band
ロープ,rope
スリップ,slip
勝つ,win
夢,dream
夕方,evening
状態,condition
餌,feed
道具,tool
合計,total
基本,basic
匂い,smell
谷,valley
または,nor
ダブル,double
シート,seat
到着,arrive
マスター,master
追跡,track
親,parent
海岸,shore
分割,division
シート,sheet
物質,substance
好意,favor
接続する,connect
役職,post
過ごす,spend
コード,chord
脂肪,fat
嬉しい,glad
オリジナル,original
共有,share
駅,station
お父さん,dad
パン,bread
充電,charge
ちゃんとした,proper
バー,bar
オファー,offer
セグメント,segment
奴隷,slave
アヒル,duck
インスタント,instant
市場,market
程度,degree
入力します,populate
ひよこ,chick
親愛なる,dear
敵,enemy
返事,reply
飲む,drink
起こる,occur
サポート,support
スピーチ,speech
自然,nature
範囲,range
蒸気,steam
モーション,motion
パス,path
液体,liquid
ログ,log
意味,meant
商,quotient
歯,teeth
シェル,shell
首,neck
